N̼mero de pessoas,Probabilidade (%)
1,0.0
2,0.2739726027397249
3,0.8204165884781345
4,1.6355912466550215
5,2.713557369979347
6,4.0462483649111425
7,5.623570309597536
8,7.433529235166903
9,9.462383388916674
10,11.694817771107768
11,14.114137832173313
12,16.70247888380645
13,19.441027523242948
14,22.310251200497312
15,25.290131976368645
16,28.360400525285012
17,31.500766529656087
18,34.69114178717896
19,37.9118526031537
20,41.14383835805803
21,44.3688335165206
22,47.56953076625503
23,50.729723432398565
24,53.8344257914529
25,56.8699703969464
26,59.8240820135939
27,62.68592822632421
28,65.44614723423994
29,68.09685374777771
30,70.63162427192688
31,73.04546337286439
32,75.33475278503208
33,77.49718541757721
34,79.53168646201543
35,81.43832388747153
36,83.21821063798795
37,84.87340082163846
38,86.4067821082121
39,87.8219664366722
40,89.1231809817949
41,90.31516114817354
42,91.40304715618693
43,92.39228556561199
44,93.28853685514264
45,94.0975899465775
46,94.82528433672547
47,95.47744028332994
48,96.05979728794225
49,96.57796093226764
50,97.03735795779885
51,97.44319933344283
52,97.80045093342753
53,98.11381134839128
54,98.38769627588515
55,98.62622888164461
56,98.83323548852007
57,99.01224593411699
58,99.16649793892613
59,99.2989448417817
60,99.4122660865348
61,99.50887988052908
62,99.59095748953655
63,99.66043868309472
64,99.71904789669756
65,99.76831073124922
66,99.80957046404045
67,99.84400429793997
68,99.87263912544141
69,99.89636663083863
70,99.91595759651571
71,99.93207531773187
72,99.94528806414567
73,99.95608055560187
74,99.96486444448149
75,99.97198781738113
76,99.97774374531652
77,99.9823779243739
78,99.98609545813612
79,99.98906683968511
80,99.99143319493135
81,99.9933108508368
82,99.99479529215796
83,99.99596456898823
84,99.99688221494432
85,99.99759973260097
86,99.99815869898157
87,99.99859253976948
88,99.99892801659155
89,99.99918646738591
90,99.99938483561236
91,99.99953651998192
92,99.99965207253437
93,99.99973976932023
94,99.99980607467151
95,99.99985601708488
96,99.99989349209018
97,99.99992150512948
98,99.99994236541013
99,99.99995783990275
100,99.99996927510722
101,99.99997769288605
102,99.9999838655395
103,99.99998837434765
104,99.99999165501119
105,99.99999403276142
106,99.9999957493643
107,99.9999969837955
108,99.99999786799792
109,99.99999849883689
110,99.99999894712943
111,99.99999926443289
112,99.9999994881259
113,99.99999964519411
114,99.99999975503813
115,99.99999983154677
116,99.99999988462108
117,99.99999992128946
118,99.99999994651996
119,99.99999996380939
120,99.99999997560852
121,99.99999998362765
122,99.99999998905518
123,99.99999999271346
124,99.99999999516892
125,99.99999999681016
126,99.99999999790258
127,99.99999999862662
128,99.99999999910449
129,99.99999999941852
130,99.99999999962404
131,99.99999999975793
132,99.99999999984482
133,99.99999999990094
134,99.99999999993705
135,99.99999999996015
136,99.99999999997489
137,99.99999999998424
138,99.99999999999017
139,99.99999999999389
140,99.99999999999622
141,99.99999999999767
142,99.99999999999856
143,99.99999999999912
144,99.99999999999946
145,99.99999999999967
146,99.9999999999998
147,99.99999999999987
148,99.99999999999993
149,99.99999999999996
150,99.99999999999997
151,99.99999999999999
152,99.99999999999999
153,100.0
154,100.0
155,100.0
156,100.0
157,100.0
158,100.0
159,100.0
160,100.0
161,100.0
162,100.0
163,100.0
164,100.0
165,100.0
166,100.0
167,100.0
168,100.0
169,100.0
170,100.0
171,100.0
172,100.0
173,100.0
174,100.0
175,100.0
176,100.0
177,100.0
178,100.0
179,100.0
180,100.0
181,100.0
182,100.0
183,100.0
184,100.0
185,100.0
186,100.0
187,100.0
188,100.0
189,100.0
190,100.0
191,100.0
192,100.0
193,100.0
194,100.0
195,100.0
196,100.0
197,100.0
198,100.0
199,100.0
200,100.0
201,100.0
202,100.0
203,100.0
204,100.0
205,100.0
206,100.0
207,100.0
208,100.0
209,100.0
210,100.0
211,100.0
212,100.0
213,100.0
214,100.0
215,100.0
216,100.0
217,100.0
218,100.0
219,100.0
220,100.0
221,100.0
222,100.0
223,100.0
224,100.0
225,100.0
226,100.0
227,100.0
228,100.0
229,100.0
230,100.0
231,100.0
232,100.0
233,100.0
234,100.0
235,100.0
236,100.0
237,100.0
238,100.0
239,100.0
240,100.0
241,100.0
242,100.0
243,100.0
244,100.0
245,100.0
246,100.0
247,100.0
248,100.0
249,100.0
250,100.0
251,100.0
252,100.0
253,100.0
254,100.0
255,100.0
256,100.0
257,100.0
258,100.0
259,100.0
260,100.0
261,100.0
262,100.0
263,100.0
264,100.0
265,100.0
266,100.0
267,100.0
268,100.0
269,100.0
270,100.0
271,100.0
272,100.0
273,100.0
274,100.0
275,100.0
276,100.0
277,100.0
278,100.0
279,100.0
280,100.0
281,100.0
282,100.0
283,100.0
284,100.0
285,100.0
286,100.0
287,100.0
288,100.0
289,100.0
290,100.0
291,100.0
292,100.0
293,100.0
294,100.0
295,100.0
296,100.0
297,100.0
298,100.0
299,100.0
300,100.0
301,100.0
302,100.0
303,100.0
304,100.0
305,100.0
306,100.0
307,100.0
308,100.0
309,100.0
310,100.0
311,100.0
312,100.0
313,100.0
314,100.0
315,100.0
316,100.0
317,100.0
318,100.0
319,100.0
320,100.0
321,100.0
322,100.0
323,100.0
324,100.0
325,100.0
326,100.0
327,100.0
328,100.0
329,100.0
330,100.0
331,100.0
332,100.0
333,100.0
334,100.0
335,100.0
336,100.0
337,100.0
338,100.0
339,100.0
340,100.0
341,100.0
342,100.0
343,100.0
344,100.0
345,100.0
346,100.0
347,100.0
348,100.0
349,100.0
350,100.0
351,100.0
352,100.0
353,100.0
354,100.0
355,100.0
356,100.0
357,100.0
358,100.0
359,100.0
360,100.0
361,100.0
362,100.0
363,100.0
364,100.0
365,100.0
